# Data description
In this text, 5 types of species combinations were included: 1 set of avian vocal learners, 1 set of birds of prey, 1 set of waterbirds, 59 sets as core control, and 1,000 sets as random control.

# Set of vocal learning birds (n=6)
TAEGU,GEOFO,CORBR,MELUN,NESNO,CALAN
BALRE,CHAVO,GEOFO,MESUN,OPHHO,TAEGU
ANAPL,APAVI,GALGA,MELGA,PHORU,PODCR
ANAPL,CORBR,FALPE,GEOFO,MANVI,TAEGU
APTFO,CHAVO,EGRGA,NIPNI,PELCR,PYGAD
CALAN,CAPCA,CATAU,CHAPE,GEOFO,TAEGU
CATAU,EURHE,GAVST,HALAL,HALLE,PHALE
CALAN,CAPCA,CHAPE,CHLUN,OPHHO,TAUER
APAVI,CORBR,GEOFO,HALLE,MANVI,TAEGU
BALRE,CHAVO,FALPE,GALGA,MELGA,OPHHO
ANAPL,CALAN,CHAPE,GALGA,MELGA,PICPU
BUCRH,GEOFO,MANVI,MERNU,PICPU,TAEGU
CATAU,GALGA,HALAL,HALLE,MELGA,PHALE
APTFO,FULGL,MESUN,PICPU,PTEGU,PYGAD
CORBR,FULGL,GEOFO,HALAL,HALLE,TAEGU
BALRE,CORBR,GEOFO,MELUN,NESNO,TAEGU
BALRE,BUCRH,GALGA,MELGA,MERNU,PICPU
BALRE,CHAVO,MANVI,OPHHO,PHORU,PODCR
CORBR,CUCCA,GEOFO,HALAL,MANVI,TAEGU
BALRE,CHAVO,CUCCA,OPHHO,STRCA,TINMA
COLLI,HALAL,HALLE,MELUN,MESUN,PTEGU
APAVI,BUCRH,CALAN,MERNU,PICPU,TINMA
CALAN,CAPCA,CHAPE,EURHE,PHALE,PTEGU
APAVI,BUCRH,FALPE,MELUN,MERNU,PICPU
CATAU,CHAVO,EGRGA,NIPNI,PELCR,PHACA
ANAPL,CUCCA,GALGA,GEOFO,MELGA,TAEGU
APTFO,CALAN,CAPCA,CHAPE,PICPU,PYGAD
ANAPL,CORBR,GEOFO,MERNU,PICPU,TAEGU
CALAN,CHAPE,CHLUN,CUCCA,PYGAD,TAUER
BALRE,CHAVO,EGRGA,HALAL,OPHHO,PELCR
CATAU,COLST,HALAL,HALLE,MESUN,PTEGU
CHLUN,CUCCA,MERNU,MESUN,PICPU,TAUER
CALAN,CAPCA,CHAPE,GEOFO,PODCR,TAEGU
CORBR,CUCCA,GALGA,GEOFO,MANVI,TAEGU
EGRGA,HALLE,MELUN,NESNO,NIPNI,PELCR
APTFO,CALAN,CHAPE,FULGL,PHACA,PYGAD
APAVI,BUCRH,MERNU,PHALE,PICPU,PODCR
CALAN,CHAPE,EGRGA,HALLE,NIPNI,PELCR
ANAPL,GALGA,MELGA,MERNU,PHORU,PICPU
APTFO,BALRE,FULGL,HALAL,HALLE,PYGAD
BUCRH,HALLE,MELUN,MERNU,NESNO,PICPU
APTFO,FULGL,HALLE,MELUN,NESNO,PYGAD
BALRE,CHAVO,GALGA,MELGA,OPHHO,PYGAD
BALRE,CHAVO,MESUN,OPHHO,PHALE,PTEGU
ANAPL,GALGA,MELGA,MELUN,NESNO,TINMA
BALRE,CHAVO,GEOFO,OPHHO,PHACA,TAEGU
CALAN,CAPCA,CHAPE,MELUN,MESUN,PTEGU
APTFO,BALRE,CHAVO,FULGL,HALLE,PYGAD
ANAPL,CALAN,CHAPE,GALGA,MELGA,STRCA
APTFO,FULGL,GEOFO,PYGAD,TAEGU,TAUER
APTFO,CHAVO,FULGL,GEOFO,PYGAD,TAEGU
COLST,CORBR,EGRGA,GEOFO,PELCR,TAEGU
CATAU,HALAL,HALLE,MELGA,PHORU,PODCR
EGRGA,NIPNI,PELCR,PHACA,PHALE,PTEGU
BUCRH,CHLUN,EGRGA,MERNU,PICPU,TAUER
APAVI,CATAU,EURHE,HALAL,HALLE,PHALE
BALRE,CHAVO,EURHE,LEPDI,OPHHO,PHALE
CARCR,COLLI,GALGA,MELGA,MESUN,PTEGU
BALRE,CAPCA,CHAVO,EGRGA,OPHHO,PELCR
CALAN,CAPCA,CHAPE,CUCCA,MELUN,NESNO
CAPCA,EGRGA,GALGA,NIPNI,PELCR,PHACA
BALRE,CALAN,CHAPE,CHAVO,OPHHO,TAEGU
BUCRH,GALGA,HALAL,HALLE,MERNU,PICPU
CHAVO,EGRGA,GALGA,NIPNI,PELCR,PHACA
CORBR,EURHE,FULGL,GEOFO,MANVI,TAEGU
CHLUN,EGRGA,EURHE,NIPNI,PELCR,PHACA
APTFO,CHLUN,EURHE,FULGL,PHALE,PYGAD
BALRE,CALAN,CHAPE,CHAVO,OPHHO,PTEGU
APAVI,BUCRH,CHLUN,MANVI,MERNU,PICPU
BALRE,CHAVO,EGRGA,NIPNI,PELCR,PYGAD
BALRE,CARCR,CHAVO,GEOFO,OPHHO,TAEGU
ANAPL,APAVI,BUCRH,CHAPE,MERNU,PICPU
APAVI,CHLUN,CUCCA,PHORU,PODCR,TAUER
APTFO,EURHE,FULGL,PHALE,PYGAD,TAUER
ANAPL,EGRGA,GALGA,HALAL,MELGA,PELCR
CALAN,CAPCA,CHAPE,HALAL,HALLE,TAEGU
APTFO,BUCRH,CATAU,MERNU,PICPU,PYGAD
APAVI,BUCRH,CORBR,GAVST,MERNU,PICPU
CORBR,GALGA,GAVST,GEOFO,MELGA,TAEGU
BALRE,CHAVO,GALGA,OPHHO,PHORU,PODCR
BALRE,CHAVO,GAVST,MERNU,OPHHO,PICPU
ANAPL,CHLUN,GALGA,GEOFO,MELGA,TAUER
BALRE,CATAU,CHAVO,MERNU,OPHHO,PICPU
ANAPL,GALGA,GEOFO,MELGA,TAEGU,TINMA
APTFO,COLLI,MESUN,PTEGU,STRCA,TINMA
BUCRH,GALGA,LEPDI,MELGA,MERNU,PICPU
APTFO,BALRE,CHAVO,COLST,FULGL,PYGAD
APTFO,EGRGA,NIPNI,PELCR,PHACA,TINMA
COLLI,HALLE,MELUN,MESUN,NESNO,PTEGU
CALAN,CHAPE,CHLUN,CUCCA,MANVI,TAUER
APTFO,FULGL,LEPDI,MELUN,NESNO,PYGAD
BALRE,CALAN,CHAPE,CHAVO,FULGL,OPHHO
EGRGA,GALGA,HALLE,NIPNI,PELCR,PHACA
CALAN,CAPCA,CHAPE,EGRGA,PELCR,TINMA
CORBR,GALGA,GEOFO,MELGA,MESUN,TAEGU
APAVI,BALRE,CHAVO,MERNU,OPHHO,PICPU
CORBR,GAVST,GEOFO,HALAL,HALLE,TAEGU
CALAN,CAPCA,CHAPE,EGRGA,MERNU,PELCR
ANAPL,CHLUN,COLLI,MESUN,PTEGU,TAUER
APTFO,FULGL,HALAL,HALLE,PYGAD,TINMA
CHLUN,CUCCA,EURHE,MESUN,PTEGU,TAUER
CHLUN,CUCCA,EURHE,OPHHO,PHALE,TAUER
APTFO,FULGL,GALGA,PHORU,PODCR,PYGAD
BALRE,CATAU,CHAVO,CORBR,HALAL,HALLE
APTFO,FULGL,GALGA,HALLE,MELGA,PYGAD
APAVI,BUCRH,MERNU,OPHHO,PHACA,PICPU
ANAPL,EGRGA,NIPNI,PELCR,PHACA,PHORU
EURHE,GEOFO,MESUN,PHALE,PTEGU,TAEGU
CALAN,CAPCA,CHAPE,EURHE,PHACA,PHALE
APAVI,BUCRH,FALPE,MERNU,PHORU,PICPU
APAVI,BUCRH,HALLE,MERNU,PICPU,TINMA
BUCRH,CORBR,GALGA,GEOFO,MELGA,TAEGU
BALRE,CARCR,EGRGA,NIPNI,PELCR,PHACA
BALRE,CHAVO,COLLI,CORBR,MESUN,PTEGU
ANAPL,CHLUN,GALGA,MELGA,PHORU,PODCR
ANAPL,CORBR,GALGA,HALAL,HALLE,MELGA
CALAN,CHAPE,CORBR,FULGL,GEOFO,TAEGU
CALAN,CHAPE,GALGA,MELGA,MESUN,PTEGU
CHAVO,COLLI,GEOFO,MESUN,PTEGU,TAEGU
APTFO,CHLUN,CUCCA,PTEGU,PYGAD,TAUER
BALRE,BUCRH,CHAVO,MERNU,PICPU,TYTAL
APAVI,BUCRH,CHAVO,MERNU,PICPU,TAEGU
BALRE,BUCRH,CHAVO,MERNU,NESNO,PICPU
CHLUN,CUCCA,HALAL,HALLE,PELCR,TAUER
CAPCA,CORBR,GEOFO,MANVI,MELUN,TAEGU
COLLI,MELUN,MESUN,NESNO,PHACA,PTEGU
COLLI,EGRGA,NIPNI,PELCR,PHACA,STRCA
BUCRH,MERNU,NIPNI,PHORU,PICPU,PODCR
CALAN,CORBR,GEOFO,MANVI,OPHHO,TAEGU
BALRE,CHAVO,EURHE,GALGA,MELGA,PHALE
APAVI,BUCRH,CALAN,MERNU,PICPU,PODCR
CALAN,CAPCA,CHAPE,CHLUN,COLST,TAUER
CORBR,GEOFO,LEPDI,MANVI,MESUN,TAEGU
EGRGA,FULGL,GEOFO,NIPNI,PELCR,PHACA
BALRE,CALAN,CAPCA,CHAPE,CHAVO,HALAL
APAVI,BUCRH,CORBR,MERNU,NIPNI,PICPU
CALAN,CHAPE,COLLI,MESUN,PTEGU,TYTAL
CHLUN,CUCCA,HALAL,HALLE,TAEGU,TAUER
EGRGA,GALGA,NIPNI,PELCR,PHACA,PTEGU
CORBR,FALPE,GEOFO,MANVI,NESNO,TAEGU
APTFO,CORBR,GEOFO,PYGAD,TAEGU,TYTAL
APAVI,BUCRH,CHAPE,MERNU,PHORU,PICPU
CALAN,CAPCA,CHAPE,GALGA,HALLE,MELGA
CHAPE,CORBR,GEOFO,MANVI,MELUN,TAEGU
EGRGA,NIPNI,PELCR,PHACA,PTEGU,PYGAD
ANAPL,CORBR,GEOFO,MANVI,PICPU,TAEGU
CATAU,CORBR,FALPE,GEOFO,MANVI,TAEGU
CALAN,CAPCA,CHAPE,GEOFO,TAEGU,TYTAL
APAVI,BUCRH,CATAU,GAVST,MERNU,PICPU
ANAPL,CAPCA,GALGA,MELGA,PHORU,PODCR
BALRE,CALAN,CAPCA,CHAPE,CHAVO,NESNO
BALRE,CHAVO,HALLE,OPHHO,STRCA,TINMA
CALAN,CHAPE,CHLUN,CUCCA,FULGL,TAUER
CORBR,GEOFO,MANVI,PODCR,STRCA,TAEGU
CORBR,GEOFO,LEPDI,MANVI,PHACA,TAEGU
APTFO,COLST,FULGL,HALAL,HALLE,PYGAD
CATAU,COLLI,EGRGA,HALAL,HALLE,PELCR
CALAN,CAPCA,CHAPE,EGRGA,PELCR,TYTAL
APAVI,BUCRH,COLLI,FALPE,MERNU,PICPU
BALRE,CHAVO,MELUN,NESNO,OPHHO,TYTAL
ANAPL,GALGA,HALAL,HALLE,MELGA,PTEGU
CHLUN,EGRGA,GEOFO,NIPNI,PELCR,TAEGU
APTFO,CHAPE,FULGL,MERNU,PICPU,PYGAD
ANAPL,GALGA,MELGA,MESUN,PHACA,PTEGU
EGRGA,NIPNI,OPHHO,PELCR,PHACA,PYGAD
CORBR,GEOFO,LEPDI,MANVI,PHALE,TAEGU
APTFO,FULGL,MESUN,NESNO,PTEGU,PYGAD
EGRGA,MANVI,MESUN,NIPNI,PELCR,PHACA
CHLUN,CUCCA,PHORU,PODCR,TAUER,TINMA
BALRE,CHAVO,EGRGA,NIPNI,PELCR,PHORU
BUCRH,CALAN,CHAPE,FALPE,MERNU,PICPU
APAVI,BUCRH,GALGA,HALAL,MERNU,PICPU
CHAPE,CHLUN,CUCCA,EURHE,PHALE,TAUER
APAVI,BUCRH,CAPCA,EURHE,MERNU,PICPU
CALAN,CHLUN,CUCCA,GEOFO,TAEGU,TAUER
CHLUN,COLLI,MANVI,MESUN,PTEGU,TAUER
CORBR,GEOFO,MELUN,NESNO,STRCA,TAEGU
CALAN,CAPCA,CHAPE,PHORU,PODCR,PTEGU
BUCRH,GEOFO,HALAL,MERNU,PICPU,TAEGU
ANAPL,GALGA,GEOFO,MELGA,TAEGU,TAUER
BALRE,CALAN,CAPCA,CHAPE,CHAVO,MANVI
ANAPL,APTFO,GALGA,HALAL,HALLE,MELGA
CHLUN,CUCCA,HALAL,STRCA,TAUER,TINMA
BALRE,CHAVO,EGRGA,OPHHO,PELCR,PHALE
EGRGA,MESUN,NIPNI,PELCR,PHORU,PODCR
CATAU,CHLUN,EGRGA,HALAL,HALLE,TAUER
CATAU,HALAL,HALLE,LEPDI,MELUN,NESNO
EGRGA,GEOFO,NIPNI,PELCR,STRCA,TAEGU
APTFO,FULGL,GEOFO,NESNO,PYGAD,TAEGU
BUCRH,MELGA,MERNU,PICPU,STRCA,TINMA
ANAPL,CALAN,CHAPE,GALGA,MELGA,OPHHO
CAPCA,CATAU,CHLUN,HALAL,HALLE,TAUER
BALRE,CHAPE,CHAVO,CORBR,GEOFO,TAEGU
COLLI,EGRGA,NIPNI,PELCR,PHACA,TAEGU
APTFO,CALAN,CAPCA,CATAU,CHAPE,PYGAD
CATAU,HALAL,HALLE,MESUN,PICPU,PTEGU
CHAPE,CORBR,GEOFO,MANVI,TAEGU,TAUER
BALRE,CHAVO,CHLUN,CUCCA,MANVI,TAUER
ANAPL,EGRGA,NIPNI,PELCR,PHACA,TINMA
APAVI,BUCRH,HALAL,MERNU,PICPU,TAUER
CALAN,CAPCA,CHAPE,CHAVO,GEOFO,TAEGU
APAVI,BUCRH,COLLI,GEOFO,MERNU,PICPU
EGRGA,GEOFO,HALAL,NIPNI,PELCR,PHACA
APTFO,CAPCA,FULGL,GEOFO,PYGAD,TAEGU
CALAN,CATAU,CHAPE,HALAL,HALLE,LEPDI
CHLUN,CUCCA,MESUN,PTEGU,TAUER,TINMA
CATAU,HALAL,HALLE,MERNU,STRCA,TINMA
ANAPL,BUCRH,CHLUN,MERNU,PICPU,TAUER
APAVI,CORBR,GEOFO,STRCA,TAEGU,TINMA
CORBR,GEOFO,HALLE,MANVI,PICPU,TAEGU
EGRGA,GAVST,MERNU,NIPNI,PELCR,PHACA
